Date,Open,High,Low,Close,Volume,Adj Close
2002-11-12,1.17965,1.22499,1.17965,1.22499,75200,0.22944
2002-11-11,1.17965,1.17965,1.17054,1.17054,000,0.21924
2002-11-08,1.17965,1.17965,1.13427,1.13427,000,0.21245
2002-11-07,1.17965,1.17965,1.16147,1.16147,000,0.21754
2002-11-06,1.166,1.166,1.16147,1.16147,21400,0.21754
2002-11-05,1.17965,1.17965,1.16147,1.16147,000,0.21754
2002-11-04,1.166,1.166,1.166,1.166,000,0.21839
2002-11-01,1.166,1.166,1.166,1.166,21400,0.21839
2002-10-31,1.17054,1.17054,1.166,1.166,75200,0.21839
2002-10-30,1.17054,1.17054,1.17054,1.17054,53700,0.21924
2002-10-29,1.166,1.166,1.166,1.166,10700,0.21839
2002-10-28,1.166,1.17965,1.16147,1.17965,96700,0.22095
2002-10-25,1.16147,1.16147,1.13427,1.13427,000,0.21245
2002-10-24,1.166,1.166,1.13427,1.13427,000,0.21245
2002-10-23,1.166,1.166,1.13427,1.13427,000,0.21245
2002-10-22,1.16147,1.17054,1.16147,1.166,96700,0.21839
2002-10-21,1.17965,1.17965,1.15694,1.15694,000,0.21669
2002-10-18,1.17054,1.17965,1.17054,1.17965,21400,0.22095
2002-10-17,1.17965,1.17965,1.13427,1.13427,000,0.21245
2002-10-16,1.17965,1.17965,1.13427,1.13427,000,0.21245
2002-10-15,1.17965,1.17965,1.1388,1.1388,000,0.2133
2002-10-14,1.17054,1.17054,1.1388,1.1388,000,0.2133
2002-10-11,1.17054,1.17054,1.14333,1.14333,000,0.21415
2002-10-10,1.17054,1.17054,1.17054,1.17054,107400,0.21924
2002-10-09,1.18872,1.18872,1.17054,1.17054,000,0.21924
2002-10-08,1.19325,1.19325,1.17054,1.17054,53700,0.21924
2002-10-07,1.1388,1.17054,1.13427,1.17054,85900,0.21924
2002-10-04,1.19779,1.19779,1.1388,1.1388,000,0.2133
2002-10-03,1.166,1.21139,1.166,1.21139,161100,0.22689
2002-10-02,1.20232,1.20232,1.13427,1.13427,000,0.21245
2002-10-01,1.17054,1.17965,1.17054,1.17054,150400,0.21924
2002-09-30,1.17965,1.19325,1.17965,1.19325,96700,0.2235
2002-09-27,1.17054,1.17965,1.17054,1.17965,53700,0.22095
2002-09-26,1.17965,1.17965,1.17054,1.17054,64400,0.21924
2002-09-25,1.1388,1.17054,1.1388,1.17054,53700,0.21924
2002-09-24,1.17054,1.17965,1.17054,1.17054,150400,0.21924
2002-09-23,1.17054,1.17054,1.17054,1.17054,225600,0.21924
2002-09-20,1.17054,1.17965,1.17054,1.17965,75200,0.22095
2002-09-19,1.17507,1.17507,1.17507,1.17507,21400,0.22009
